#: table_doi: 10.17182/hepdata.77101.v2/t1
#: name: Table 1
#: description: Charged-particle per-event yields measured in 0-5% PbPb centrality class.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: ED3N/DP3
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: CENTRALITY,,,0-5%
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,10*(1/N)*E*D3(N)/DP(3) [GEV**-2],stat +,stat -,sys +,sys -
0.75,0.7,0.8,2382.23,0.13,-0.13,179.49,-179.49
0.8500000000000001,0.8,0.9,1798.22,0.01,-0.01,131.021,-131.021
0.95,0.9,1.0,1339.4,0.068,-0.068,98.152,-98.152
1.05,1.0,1.1,1027.66,0.051,-0.051,74.431,-74.431
1.15,1.1,1.2,763.707,0.042,-0.042,54.904,-54.904
1.2999999999999998,1.2,1.4,529.853,0.023,-0.023,40.74,-40.74
1.5,1.4,1.6,309.116,0.016,-0.016,23.719,-23.719
1.7000000000000002,1.6,1.8,194.689,0.012,-0.012,16.964,-16.964
1.9,1.8,2.0,117.241,0.0088,-0.0088,10.2116,-10.2116
2.1,2.0,2.2,75.1292,0.0068,-0.0068,7.4481,-7.4481
2.3,2.2,2.4,48.0108,0.0052,-0.0052,4.7594,-4.7594
2.8,2.4,3.2,17.1983,0.0014,-0.0014,2.0694,-2.0694
3.6,3.2,4.0,3.20918,0.00054,-0.00054,0.48041,-0.48041
4.4,4.0,4.8,0.7047,0.00023,-0.00023,0.10693,-0.10693
5.199999999999999,4.8,5.6,0.1974,0.00011,-0.00011,0.02592,-0.02592
6.0,5.6,6.4,0.070796,6.1e-05,-6.1e-05,0.007568,-0.007568
6.800000000000001,6.4,7.2,0.030039,3.6e-05,-3.6e-05,0.002187,-0.002187
8.4,7.2,9.6,0.009127,1e-05,-1e-05,0.000655,-0.000655
10.8,9.6,12.0,0.0021665,4.2e-06,-4.2e-06,0.0001555,-0.0001555
13.2,12.0,14.4,0.0007953,2.4e-06,-2.4e-06,6.7e-05,-6.7e-05
16.8,14.4,19.2,0.00023314,8.1e-07,-8.1e-07,1.963e-05,-1.963e-05
21.6,19.2,24.0,5.322e-05,3.2e-07,-3.2e-07,4.48e-06,-4.48e-06
26.4,24.0,28.8,1.657e-05,1.5e-07,-1.5e-07,1.4e-06,-1.4e-06
32.0,28.8,35.2,5.858e-06,6.5e-08,-6.5e-08,4.93e-07,-4.93e-07
38.400000000000006,35.2,41.6,2.058e-06,3.1e-08,-3.1e-08,1.73e-07,-1.73e-07
44.8,41.6,48.0,8.14e-07,1.5e-08,-1.5e-08,6.7e-08,-6.7e-08
54.4,48.0,60.8,2.781e-07,4.7e-09,-4.7e-09,2.27e-08,-2.27e-08
67.19999999999999,60.8,73.6,7.49e-08,1.9e-09,-1.9e-09,6.1e-09,-6.1e-09
80.0,73.6,86.4,2.504e-08,7e-10,-7e-10,2.05e-09,-2.05e-09
95.0,86.4,103.6,9.41e-09,3.6e-10,-3.6e-10,7.8e-10,-7.8e-10
112.19999999999999,103.6,120.8,2.95e-09,1.4e-10,-1.4e-10,2.4e-10,-2.4e-10
130.4,120.8,140.0,1.032e-09,5.8e-11,-5.8e-11,8.5e-11,-8.5e-11
152.5,140.0,165.0,4.57e-10,5.1e-11,-5.1e-11,3.8e-11,-3.8e-11
207.5,165.0,250.0,6.78e-11,6e-12,-6e-12,5.6e-12,-5.6e-12
325.0,250.0,400.0,2.15e-12,6.5e-13,-6.5e-13,1.8e-13,-1.8e-13

